day,price
2025-06-04,1776.35
2025-06-04,1776.35
2025-06-04,1776.35
2025-06-05,1779.07
2025-06-06,1780.15
2025-06-07,1780.15
2025-06-08,1780.15
2025-06-09,1778.8
2025-06-10,1770.16
2025-06-11,1762.76
2025-06-12,1773.46
2025-06-13,1770.37
2025-06-14,1770.37
2025-06-15,1770.37
2025-06-16,1779.11
2025-06-17,1781.78
2025-06-18,1786.65
2025-06-19,1786.65
2025-06-20,1799.88
2025-06-21,1799.88
2025-06-22,1799.88
2025-06-23,1804.65
2025-06-24,1799.13
2025-06-25,1787.52
2025-06-26,1792.24
2025-06-27,1798.71
2025-06-28,1798.71
2025-06-29,1798.71
2025-06-30,1811.67
2025-07-01,1816.41
2025-07-02,1821.18
2025-07-03,1817.64
2025-07-04,1818.47
2025-07-05,1818.47
2025-07-06,1818.47
2025-07-07,1810.82
2025-07-08,1805.26
2025-07-09,1795.64
2025-07-10,1782.84
2025-07-11,1795.92
2025-07-12,1795.92
2025-07-13,1795.92
2025-07-14,1796.56
2025-07-15,1789.15
2025-07-16,1779.76
2025-07-17,1776.45
2025-07-18,1771.55
2025-07-19,1771.55
2025-07-20,1771.55
2025-07-21,1766.28
2025-07-22,1772.95
2025-07-23,1767.68
2025-07-24,1772.36
2025-07-25,1775.45
2025-07-26,1775.45
2025-07-27,1775.45
2025-07-28,1770.26
2025-07-29,1776.94
2025-07-30,1777.65
2025-07-31,1774.37
2025-08-01,1783.48
2025-08-02,1783.48
2025-08-03,1783.48
2025-08-04,1790.21
2025-08-05,1784.9
