day,price
2025-06-04,2394.66
2025-06-04,2394.66
2025-06-04,2394.66
2025-06-05,2397.58
2025-06-06,2401.02
2025-06-07,2401.02
2025-06-08,2401.02
2025-06-09,2399.97
2025-06-10,2391.34
2025-06-11,2378.45
2025-06-12,2393.09
2025-06-13,2388.47
2025-06-14,2388.47
2025-06-15,2388.47
2025-06-16,2391.32
2025-06-17,2392.2
2025-06-18,2395.26
2025-06-19,2395.26
2025-06-20,2404.46
2025-06-21,2404.46
2025-06-22,2404.46
2025-06-23,2409.31
2025-06-24,2410.19
2025-06-25,2407.12
2025-06-26,2413.94
2025-06-27,2414.41
2025-06-28,2414.41
2025-06-29,2414.41
2025-06-30,2427.17
2025-07-01,2431.98
2025-07-02,2436.81
2025-07-03,2435.64
2025-07-04,2436.77
2025-07-05,2436.77
2025-07-06,2436.77
2025-07-07,2429.62
2025-07-08,2422.51
2025-07-09,2411.48
2025-07-10,2393.72
2025-07-11,2408.7
2025-07-12,2408.7
2025-07-13,2408.7
2025-07-14,2409.58
2025-07-15,2402.68
2025-07-16,2397.77
2025-07-17,2394.81
2025-07-18,2390.47
2025-07-19,2390.47
2025-07-20,2390.47
2025-07-21,2383.66
2025-07-22,2394.33
2025-07-23,2385.58
2025-07-24,2390.42
2025-07-25,2393.85
2025-07-26,2393.85
2025-07-27,2393.85
2025-07-28,2389.1
2025-07-29,2397.84
2025-07-30,2392.98
2025-07-31,2388.14
2025-08-01,2397.41
2025-08-02,2397.41
