day,price
2025-06-04,1269.25
2025-06-04,1269.25
2025-06-04,1269.25
2025-06-05,1273.83
2025-06-06,1272.55
2025-06-07,1272.55
2025-06-08,1272.55
2025-06-09,1270.99
2025-06-10,1262.46
2025-06-11,1256.85
2025-06-12,1265.4
2025-06-13,1262.01
2025-06-14,1262.01
2025-06-15,1262.01
2025-06-16,1274.69
2025-06-17,1277.2
2025-06-18,1283.94
2025-06-19,1283.94
2025-06-20,1299.17
2025-06-21,1299.17
2025-06-22,1299.17
2025-06-23,1303.83
2025-06-24,1298.01
2025-06-25,1283.95
2025-06-26,1286.47
2025-06-27,1292.93
2025-06-28,1292.93
2025-06-29,1292.93
2025-06-30,1310.1
2025-07-01,1314.76
