day,price
2025-06-04,1720.98
2025-06-04,1720.98
2025-06-04,1720.98
2025-06-05,1723.86
2025-06-06,1724.9
2025-06-07,1724.9
2025-06-08,1724.9
2025-06-09,1725.56
2025-06-10,1711.73
2025-06-11,1705.74
2025-06-12,1717.39
2025-06-13,1711.67
2025-06-14,1711.67
2025-06-15,1711.67
2025-06-16,1723.36
2025-06-17,1726.21
2025-06-18,1731.43
2025-06-19,1731.43
2025-06-20,1745.8
2025-06-21,1745.8
2025-06-22,1745.8
2025-06-23,1750.93
2025-06-24,1744.81
2025-06-25,1734.23
2025-06-26,1737.09
2025-06-27,1746.38
2025-06-28,1746.38
2025-06-29,1746.38
2025-06-30,1760.5
2025-07-01,1763.36
2025-07-02,1766.22
2025-07-03,1762.27
2025-07-04,1760.82
2025-07-05,1760.82
2025-07-06,1760.82
2025-07-07,1752.37
2025-07-08,1743.98
2025-07-09,1735.63
2025-07-10,1723.66
2025-07-11,1737.87
2025-07-12,1737.87
2025-07-13,1737.87
2025-07-14,1742.95
2025-07-15,1734.71
2025-07-16,1724.31
2025-07-17,1718.37
