day,price
2025-06-04,2937.12
2025-06-04,2937.12
2025-06-04,2937.12
2025-06-05,2933.46
2025-06-06,2940.09
2025-06-07,2940.09
2025-06-08,2940.09
2025-06-09,2942.86
2025-06-10,2938.77
2025-06-11,2923.88
2025-06-12,2932.95
2025-06-13,2936.14
2025-06-14,2936.14
2025-06-15,2936.14
2025-06-16,2938.84
2025-06-17,2935.15
2025-06-18,2934.92
2025-06-19,2934.92
2025-06-20,2941.31
2025-06-21,2941.31
2025-06-22,2941.31
2025-06-23,2944.01
2025-06-24,2945.12
2025-06-25,2943.03
2025-06-26,2948.92
2025-06-27,2949.51
2025-06-28,2949.51
2025-06-29,2949.51
2025-06-30,2958.54
2025-07-01,2964.38
2025-07-02,2967.01
2025-07-03,2969.65
2025-07-04,2971.06
2025-07-05,2971.06
2025-07-06,2971.06
2025-07-07,2964.08
2025-07-08,2957.14
2025-07-09,2945.47
2025-07-10,2930.42
2025-07-11,2935.13
2025-07-12,2935.13
2025-07-13,2935.13
2025-07-14,2940.96
2025-07-15,2937.43
2025-07-16,2932.33
2025-07-17,2935.1
2025-07-18,2932.26
2025-07-19,2932.26
2025-07-20,2932.26
2025-07-21,2924.07
2025-07-22,2934.65
2025-07-23,2929.6
2025-07-24,2929.24
2025-07-25,2934.23
2025-07-26,2934.23
2025-07-27,2934.23
2025-07-28,2932.44
2025-07-29,2939.9
2025-07-30,2936.43
2025-07-31,2928.31
2025-08-01,2936.43
2025-08-02,2936.43
2025-08-03,2936.43
2025-08-04,2942.32
2025-08-05,2946.66
2025-08-06,2947.87
2025-08-07,2953.77
2025-08-08,2966.64
2025-08-09,2966.64
2025-08-10,2966.64
