day,price
2025-06-04,2741.91
2025-06-04,2741.91
2025-06-04,2741.91
2025-06-05,2741.24
2025-06-06,2746.44
2025-06-07,2746.44
2025-06-08,2746.44
2025-06-09,2747.52
2025-06-10,2741.43
2025-06-11,2726.74
2025-06-12,2739.96
2025-06-13,2739.69
2025-06-14,2739.69
2025-06-15,2739.69
2025-06-16,2740.72
2025-06-17,2739.99
2025-06-18,2741.25
2025-06-19,2741.25
2025-06-20,2747.99
2025-06-21,2747.99
2025-06-22,2747.99
2025-06-23,2750.76
2025-06-24,2751.78
2025-06-25,2751.06
2025-06-26,2755.59
2025-06-27,2756.12
2025-06-28,2756.12
2025-06-29,2756.12
2025-06-30,2767.6
2025-07-01,2772.07
2025-07-02,2776.55
2025-07-03,2777.51
