day,price
2025-06-04,3898.2
2025-06-04,3898.2
2025-06-04,3898.2
2025-06-05,3904.48
2025-06-06,3906.85
2025-06-07,3906.85
2025-06-08,3906.85
2025-06-09,3903.57
2025-06-10,3878.62
2025-06-11,3865.89
2025-06-12,3881.43
2025-06-13,3883.5
2025-06-14,3883.5
2025-06-15,3883.5
2025-06-16,3913.45
2025-06-17,3914.86
2025-06-18,3931.02
2025-06-19,3931.02
2025-06-20,3967.07
2025-06-21,3967.07
2025-06-22,3967.07
2025-06-23,3978.28
2025-06-24,3965.04
2025-06-25,3932.58
2025-06-26,3938.81
2025-06-27,3954.03
2025-06-28,3954.03
2025-06-29,3954.03
2025-06-30,3999.37
2025-07-01,4010.6
2025-07-02,4021.86
2025-07-03,4008.32
2025-07-04,4010.16
2025-07-05,4010.16
2025-07-06,4010.16
2025-07-07,4001.63
2025-07-08,3993.13
2025-07-09,3970.06
2025-07-10,3948.94
2025-07-11,3965.45
2025-07-12,3965.45
2025-07-13,3965.45
2025-07-14,3966.85
2025-07-15,3939.52
2025-07-16,3936.27
2025-07-17,3923.53
2025-07-18,3916.47
2025-07-19,3916.47
2025-07-20,3916.47
2025-07-21,3903.86
2025-07-22,3919.53
2025-07-23,3906.93
2025-07-24,3922.6
2025-07-25,3925.02
2025-07-26,3925.02
2025-07-27,3925.02
2025-07-28,3917.29
2025-07-29,3933.02
2025-07-30,3939.31
2025-07-31,3940.87
2025-08-01,3962.42
