day,price
2025-06-04,3926.05
2025-06-04,3926.05
2025-06-04,3926.05
2025-06-05,3932.47
2025-06-06,3929.94
2025-06-07,3929.94
2025-06-08,3929.94
2025-06-09,3921.67
2025-06-10,3901.03
2025-06-11,3887.97
2025-06-12,3908.71
2025-06-13,3915.65
2025-06-14,3915.65
2025-06-15,3915.65
2025-06-16,3931.71
2025-06-17,3942.95
2025-06-18,3959.53
2025-06-19,3959.53
2025-06-20,4001.6
2025-06-21,4001.6
2025-06-22,4001.6
2025-06-23,4018.21
2025-06-24,4004.48
2025-06-25,3961.01
2025-06-26,3972.35
2025-06-27,3988.02
2025-06-28,3988.02
2025-06-29,3988.02
2025-06-30,4024.61
2025-07-01,4031.03
2025-07-02,4047.69
2025-07-03,4028.65
2025-07-04,4035.59
2025-07-05,4035.59
2025-07-06,4035.59
2025-07-07,4026.79
2025-07-08,4013.0
