day,price
2025-06-04,922.4
2025-06-04,922.4
2025-06-04,922.4
2025-06-05,922.59
2025-06-06,923.05
2025-06-07,923.05
2025-06-08,923.05
2025-06-09,923.79
2025-06-10,924.39
2025-06-11,924.71
2025-06-12,925.31
2025-06-13,925.91
2025-06-14,925.91
2025-06-15,925.91
2025-06-16,926.42
2025-06-17,926.89
2025-06-18,927.49
2025-06-19,927.49
2025-06-20,927.56
2025-06-21,927.56
2025-06-22,927.56
2025-06-23,928.12
2025-06-24,928.72
2025-06-25,929.19
2025-06-26,929.78
2025-06-27,930.3
2025-06-28,930.3
2025-06-29,930.3
2025-06-30,930.81
2025-07-01,931.28
2025-07-02,931.84
2025-07-03,932.19
2025-07-04,932.7
2025-07-05,932.7
2025-07-06,932.7
2025-07-07,933.18
2025-07-08,933.69
2025-07-09,934.21
2025-07-10,934.61
2025-07-11,935.17
2025-07-12,935.17
2025-07-13,935.17
2025-07-14,935.69
2025-07-15,936.2
2025-07-16,936.72
2025-07-17,937.24
2025-07-18,937.69
2025-07-19,937.69
2025-07-20,937.69
2025-07-21,938.21
2025-07-22,938.76
2025-07-23,939.32
2025-07-24,939.84
2025-07-25,940.4
2025-07-26,940.4
2025-07-27,940.4
2025-07-28,940.95
2025-07-29,941.55
2025-07-30,942.03
2025-07-31,942.55
2025-08-01,943.11
2025-08-02,943.11
2025-08-03,943.11
2025-08-04,943.63
2025-08-05,944.15
2025-08-06,944.71
2025-08-07,945.19
2025-08-08,945.75
2025-08-09,945.75
2025-08-10,945.75
2025-08-11,946.24
2025-08-12,946.83
2025-08-13,947.38
