day,price
2025-06-04,632.03
2025-06-04,632.03
2025-06-04,632.03
2025-06-05,629.41
2025-06-06,630.71
2025-06-07,630.71
2025-06-08,630.71
2025-06-09,632.22
2025-06-10,635.1
2025-06-11,635.03
2025-06-12,634.37
2025-06-13,634.5
2025-06-14,634.5
2025-06-15,634.5
2025-06-16,637.78
2025-06-17,636.33
2025-06-18,637.05
2025-06-19,637.05
2025-06-20,639.74
2025-06-21,639.74
2025-06-22,639.74
2025-06-23,640.85
2025-06-24,642.36
2025-06-25,640.9
2025-06-26,643.2
2025-06-27,643.33
2025-06-28,643.33
2025-06-29,643.33
2025-06-30,647.82
2025-07-01,648.34
2025-07-02,647.07
2025-07-03,647.19
2025-07-04,646.92
2025-07-05,646.92
