day,price
2025-06-04,16686.15
2025-06-04,16686.15
2025-06-04,16686.15
2025-06-05,16695.29
2025-06-06,16704.48
2025-06-07,16704.48
2025-06-08,16704.48
2025-06-09,16713.7
2025-06-10,16722.95
2025-06-11,16732.26
2025-06-12,16741.52
2025-06-13,16750.71
2025-06-14,16750.71
2025-06-15,16750.71
2025-06-16,16759.78
2025-06-17,16768.89
2025-06-18,16778.04
2025-06-19,16778.04
2025-06-20,16787.31
2025-06-21,16787.31
2025-06-22,16787.31
2025-06-23,16796.6
2025-06-24,16805.88
2025-06-25,16815.17
2025-06-26,16824.5
2025-06-27,16833.7
2025-06-28,16833.7
2025-06-29,16833.7
2025-06-30,16843.04
2025-07-01,16852.34
2025-07-02,16861.61
2025-07-03,16871.06
2025-07-04,16880.48
2025-07-05,16880.48
2025-07-06,16880.48
2025-07-07,16889.87
2025-07-08,16899.27
2025-07-09,16908.58
2025-07-10,16917.92
2025-07-11,16927.3
2025-07-12,16927.3
2025-07-13,16927.3
2025-07-14,16936.7
2025-07-15,16945.88
2025-07-16,16955.21
2025-07-17,16964.64
2025-07-18,16974.11
2025-07-19,16974.11
2025-07-20,16974.11
2025-07-21,16983.62
2025-07-22,16993.26
2025-07-23,17002.95
2025-07-24,17012.43
2025-07-25,17021.81
2025-07-26,17021.81
2025-07-27,17021.81
2025-07-28,17031.24
2025-07-29,17040.67
2025-07-30,17050.06
2025-07-31,17059.46
2025-08-01,17068.86
2025-08-02,17068.86
2025-08-03,17068.86
2025-08-04,17078.27
2025-08-05,17087.66
2025-08-06,17097.06
2025-08-07,17106.4
2025-08-08,17115.78
2025-08-09,17115.78
2025-08-10,17115.78
2025-08-11,17125.25
2025-08-12,17134.67
2025-08-13,17144.09
2025-08-14,17153.52
2025-08-15,17163.15
