day,price
2025-06-04,4240.96
2025-06-04,4240.96
2025-06-04,4240.96
2025-06-05,4235.84
2025-06-06,4245.26
2025-06-07,4245.26
2025-06-08,4245.26
2025-06-09,4246.95
2025-06-10,4243.42
2025-06-11,4220.16
2025-06-12,4235.27
2025-06-13,4237.57
2025-06-14,4237.57
2025-06-15,4237.57
2025-06-16,4236.91
2025-06-17,4234.0
2025-06-18,4233.72
2025-06-19,4233.72
2025-06-20,4242.8
2025-06-21,4242.8
2025-06-22,4242.8
2025-06-23,4246.66
2025-06-24,4246.0
2025-06-25,4247.61
2025-06-26,4253.71
2025-06-27,4256.81
2025-06-28,4256.81
2025-06-29,4256.81
2025-06-30,4269.6
2025-07-01,4277.89
2025-07-02,4281.65
2025-07-03,4285.41
2025-07-04,4287.45
2025-07-05,4287.45
2025-07-06,4287.45
2025-07-07,4277.64
2025-07-08,4267.87
2025-07-09,4251.44
2025-07-10,4228.07
2025-07-11,4234.77
2025-07-12,4234.77
2025-07-13,4234.77
2025-07-14,4243.03
2025-07-15,4238.09
2025-07-16,4233.18
2025-07-17,4234.91
2025-07-18,4230.97
2025-07-19,4230.97
2025-07-20,4230.97
2025-07-21,4221.69
2025-07-22,4236.66
2025-07-23,4229.58
2025-07-24,4229.12
2025-07-25,4238.42
2025-07-26,4238.42
2025-07-27,4238.42
2025-07-28,4233.75
2025-07-29,4244.32
2025-07-30,4239.47
2025-07-31,4225.88
2025-08-01,4237.39
2025-08-02,4237.39
2025-08-03,4237.39
2025-08-04,4243.54
2025-08-05,4251.9
2025-08-06,4255.86
2025-08-07,4264.23
2025-08-08,4282.44
2025-08-09,4282.44
2025-08-10,4282.44
