day,price
2025-06-04,485.08
2025-06-04,485.08
2025-06-04,485.08
2025-06-05,482.75
2025-06-06,484.17
2025-06-07,484.17
2025-06-08,484.17
2025-06-09,484.66
2025-06-10,487.74
2025-06-11,488.47
2025-06-12,487.3
2025-06-13,487.32
2025-06-14,487.32
2025-06-15,487.32
2025-06-16,490.88
2025-06-17,489.71
2025-06-18,489.73
2025-06-19,489.73
2025-06-20,493.54
2025-06-21,493.54
2025-06-22,493.54
2025-06-23,494.75
2025-06-24,495.48
2025-06-25,493.58
2025-06-26,495.74
2025-06-27,496.0
2025-06-28,496.0
2025-06-29,496.0
2025-06-30,502.51
2025-07-01,504.21
2025-07-02,503.01
2025-07-03,502.29
2025-07-04,501.58
2025-07-05,501.58
2025-07-06,501.58
2025-07-07,499.66
2025-07-08,499.44
2025-07-09,498.73
2025-07-10,494.0
2025-07-11,495.67
2025-07-12,495.67
2025-07-13,495.67
2025-07-14,495.21
2025-07-15,492.64
2025-07-16,490.56
2025-07-17,492.68
2025-07-18,490.6
2025-07-19,490.6
2025-07-20,490.6
2025-07-21,491.56
2025-07-22,494.62
2025-07-23,494.64
2025-07-24,494.43
2025-07-25,493.28
2025-07-26,493.28
2025-07-27,493.28
2025-07-28,494.01
2025-07-29,498.02
2025-07-30,496.86
2025-07-31,494.78
2025-08-01,497.14
2025-08-02,497.14
2025-08-03,497.14
2025-08-04,500.46
2025-08-05,499.3
