day,price
2025-06-04,718.85
2025-06-04,718.85
2025-06-04,718.85
2025-06-05,716.31
2025-06-06,717.32
2025-06-07,717.32
2025-06-08,717.32
2025-06-09,718.98
2025-06-10,721.61
2025-06-11,721.17
2025-06-12,720.57
2025-06-13,720.94
2025-06-14,720.94
2025-06-15,720.94
2025-06-16,723.24
2025-06-17,721.84
2025-06-18,722.85
2025-06-19,722.85
2025-06-20,724.18
2025-06-21,724.18
2025-06-22,724.18
2025-06-23,725.19
2025-06-24,726.68
2025-06-25,725.6
2025-06-26,727.74
2025-06-27,728.26
2025-06-28,728.26
2025-06-29,728.26
