day,price
2025-06-04,322.67
2025-06-04,322.67
2025-06-04,322.67
2025-06-05,325.04
2025-06-06,321.87
2025-06-07,321.87
2025-06-08,321.87
2025-06-09,317.57
2025-06-10,314.19
2025-06-11,313.22
2025-06-12,316.6
2025-06-13,321.18
2025-06-14,321.18
2025-06-15,321.18
2025-06-16,322.41
2025-06-17,328.16
2025-06-18,332.89
2025-06-19,332.89
2025-06-20,346.02
2025-06-21,346.02
2025-06-22,346.02
2025-06-23,352.21
2025-06-24,347.47
2025-06-25,332.27
2025-06-26,334.7
2025-06-27,338.26
2025-06-28,338.26
2025-06-29,338.26
2025-06-30,346.68
2025-07-01,345.6
2025-07-02,351.76
2025-07-03,343.44
2025-07-04,345.99
2025-07-05,345.99
2025-07-06,345.99
2025-07-07,346.1
2025-07-08,342.63
2025-07-09,339.2
2025-07-10,337.12
2025-07-11,338.46
2025-07-12,338.46
2025-07-13,338.46
2025-07-14,335.08
2025-07-15,329.46
2025-07-16,335.34
2025-07-17,334.31
2025-07-18,331.06
2025-07-19,331.06
2025-07-20,331.06
2025-07-21,330.05
2025-07-22,334.77
2025-07-23,330.31
2025-07-24,333.88
2025-07-25,334.08
2025-07-26,334.08
2025-07-27,334.08
2025-07-28,333.07
