day,price
2025-06-04,3994.74
2025-06-04,3994.74
2025-06-04,3994.74
2025-06-05,4000.84
2025-06-06,3998.7
2025-06-07,3998.7
2025-06-08,3998.7
2025-06-09,3995.69
2025-06-10,3976.35
2025-06-11,3959.8
2025-06-12,3979.23
2025-06-13,3976.84
2025-06-14,3976.84
2025-06-15,3976.84
2025-06-16,4000.93
2025-06-17,4002.38
2025-06-18,4017.86
2025-06-19,4017.86
2025-06-20,4052.24
2025-06-21,4052.24
2025-06-22,4052.24
2025-06-23,4062.97
2025-06-24,4055.15
2025-06-25,4024.39
2025-06-26,4030.43
2025-06-27,4044.96
2025-06-28,4044.96
2025-06-29,4044.96
2025-06-30,4088.13
2025-07-01,4098.88
2025-07-02,4114.39
2025-07-03,4101.62
2025-07-04,4103.5
2025-07-05,4103.5
2025-07-06,4103.5
2025-07-07,4090.81
2025-07-08,4082.85
2025-07-09,4065.65
2025-07-10,4045.75
2025-07-11,4061.63
