day,price
2025-06-04,2251.63
2025-06-04,2251.63
2025-06-04,2251.63
2025-06-05,2254.58
2025-06-06,2255.95
2025-06-07,2255.95
2025-06-08,2255.95
2025-06-09,2252.68
2025-06-10,2243.73
2025-06-11,2234.27
2025-06-12,2247.43
2025-06-13,2240.4
2025-06-14,2240.4
2025-06-15,2240.4
2025-06-16,2245.34
2025-06-17,2248.23
2025-06-18,2253.38
2025-06-19,2253.38
2025-06-20,2262.88
2025-06-21,2262.88
2025-06-22,2262.88
2025-06-23,2269.94
2025-06-24,2270.77
2025-06-25,2265.36
2025-06-26,2270.35
2025-06-27,2270.77
2025-06-28,2270.77
2025-06-29,2270.77
2025-06-30,2286.15
2025-07-01,2291.11
2025-07-02,2298.19
2025-07-03,2294.76
2025-07-04,2295.83
2025-07-05,2295.83
2025-07-06,2295.83
2025-07-07,2288.22
2025-07-08,2284.83
2025-07-09,2273.13
2025-07-10,2256.31
2025-07-11,2274.0
2025-07-12,2274.0
2025-07-13,2274.0
2025-07-14,2274.81
2025-07-15,2265.37
2025-07-16,2258.04
2025-07-17,2250.73
2025-07-18,2246.0
2025-07-19,2246.0
2025-07-20,2246.0
