day,price
2025-06-04,16575.25
2025-06-04,16575.25
2025-06-04,16575.25
2025-06-05,16584.33
2025-06-06,16593.4
2025-06-07,16593.4
2025-06-08,16593.4
2025-06-09,16602.87
2025-06-10,16611.95
2025-06-11,16620.76
2025-06-12,16630.33
2025-06-13,16639.99
2025-06-14,16639.99
2025-06-15,16639.99
2025-06-16,16649.29
2025-06-17,16658.98
2025-06-18,16668.94
2025-06-19,16668.94
2025-06-20,16678.59
2025-06-21,16678.59
2025-06-22,16678.59
2025-06-23,16688.33
2025-06-24,16697.79
2025-06-25,16707.08
2025-06-26,16715.9
2025-06-27,16725.47
2025-06-28,16725.47
2025-06-29,16725.47
2025-06-30,16735.23
2025-07-01,16745.1
2025-07-02,16754.41
2025-07-03,16764.58
2025-07-04,16774.28
2025-07-05,16774.28
2025-07-06,16774.28
2025-07-07,16783.88
2025-07-08,16793.49
2025-07-09,16802.81
2025-07-10,16812.25
2025-07-11,16821.5
2025-07-12,16821.5
2025-07-13,16821.5
2025-07-14,16830.48
2025-07-15,16839.83
2025-07-16,16849.1
2025-07-17,16858.45
2025-07-18,16867.83
2025-07-19,16867.83
2025-07-20,16867.83
2025-07-21,16877.68
2025-07-22,16887.15
2025-07-23,16895.59
2025-07-24,16903.68
2025-07-25,16912.59
2025-07-26,16912.59
2025-07-27,16912.59
2025-07-28,16921.82
2025-07-29,16931.13
2025-07-30,16940.55
