day,price
2025-06-04,2562.19
2025-06-04,2562.19
2025-06-04,2562.19
2025-06-05,2561.32
2025-06-06,2566.64
2025-06-07,2566.64
2025-06-08,2566.64
2025-06-09,2565.77
2025-06-10,2559.37
2025-06-11,2545.37
2025-06-12,2559.37
2025-06-13,2555.15
2025-06-14,2555.15
2025-06-15,2555.15
2025-06-16,2557.97
2025-06-17,2558.92
2025-06-18,2560.09
2025-06-19,2560.09
2025-06-20,2568.97
2025-06-21,2568.97
2025-06-22,2568.97
2025-06-23,2573.67
2025-06-24,2572.75
2025-06-25,2571.83
2025-06-26,2578.4
2025-06-27,2578.9
2025-06-28,2578.9
