day,price
2025-06-04,1140.33
2025-06-04,1140.33
2025-06-04,1140.33
2025-06-05,1144.99
2025-06-06,1143.57
2025-06-07,1143.57
2025-06-08,1143.57
2025-06-09,1141.9
2025-06-10,1133.14
2025-06-11,1127.28
2025-06-12,1138.15
2025-06-13,1132.47
2025-06-14,1132.47
2025-06-15,1132.47
2025-06-16,1149.74
2025-06-17,1156.54
2025-06-18,1161.34
2025-06-19,1161.34
2025-06-20,1179.26
2025-06-21,1179.26
2025-06-22,1179.26
2025-06-23,1179.68
2025-06-24,1169.25
2025-06-25,1152.53
2025-06-26,1157.2
2025-06-27,1168.15
2025-06-28,1168.15
2025-06-29,1168.15
2025-06-30,1179.37
2025-07-01,1181.94
2025-07-02,1188.9
2025-07-03,1178.37
2025-07-04,1183.27
2025-07-05,1183.27
2025-07-06,1183.27
2025-07-07,1179.31
2025-07-08,1171.04
2025-07-09,1164.97
2025-07-10,1155.18
2025-07-11,1170.77
2025-07-12,1170.77
2025-07-13,1170.77
2025-07-14,1164.73
2025-07-15,1152.39
2025-07-16,1140.19
2025-07-17,1136.45
2025-07-18,1132.98
2025-07-19,1132.98
2025-07-20,1132.98
2025-07-21,1125.14
2025-07-22,1127.65
2025-07-23,1126.02
2025-07-24,1134.77
2025-07-25,1133.38
2025-07-26,1133.38
2025-07-27,1133.38
2025-07-28,1131.8
2025-07-29,1132.25
2025-07-30,1138.94
2025-07-31,1133.15
2025-08-01,1148.5
2025-08-02,1148.5
2025-08-03,1148.5
2025-08-04,1153.17
