day,price
2025-06-04,4047.97
2025-06-04,4047.97
2025-06-04,4047.97
2025-06-05,4040.2
2025-06-06,4044.78
2025-06-07,4044.78
2025-06-08,4044.78
2025-06-09,4048.47
2025-06-10,4046.72
2025-06-11,4042.03
2025-06-12,4046.48
2025-06-13,4058.97
2025-06-14,4058.97
2025-06-15,4058.97
2025-06-16,4057.77
2025-06-17,4056.17
2025-06-18,4056.66
2025-06-19,4056.66
2025-06-20,4055.37
2025-06-21,4055.37
2025-06-22,4055.37
2025-06-23,4054.27
2025-06-24,4054.03
2025-06-25,4052.55
2025-06-26,4056.12
2025-06-27,4060.65
2025-06-28,4060.65
2025-06-29,4060.65
2025-06-30,4064.11
2025-07-01,4066.31
2025-07-02,4066.02
2025-07-03,4069.87
2025-07-04,4073.83
2025-07-05,4073.83
2025-07-06,4073.83
2025-07-07,4074.78
2025-07-08,4075.75
2025-07-09,4072.22
2025-07-10,4072.93
2025-07-11,4070.61
2025-07-12,4070.61
2025-07-13,4070.61
2025-07-14,4073.32
2025-07-15,4078.17
2025-07-16,4078.18
2025-07-17,4078.61
2025-07-18,4080.37
2025-07-19,4080.37
2025-07-20,4080.37
2025-07-21,4084.01
2025-07-22,4086.05
2025-07-23,4088.48
2025-07-24,4090.12
2025-07-25,4093.87
2025-07-26,4093.87
2025-07-27,4093.87
2025-07-28,4095.7
2025-07-29,4098.15
