day,price
2025-06-04,16657.46
2025-06-04,16657.46
2025-06-04,16657.46
2025-06-05,16666.92
2025-06-06,16676.05
2025-06-07,16676.05
2025-06-08,16676.05
2025-06-09,16685.38
2025-06-10,16694.57
2025-06-11,16706.19
2025-06-12,16715.97
2025-06-13,16724.86
2025-06-14,16724.86
2025-06-15,16724.86
2025-06-16,16734.34
2025-06-17,16743.82
2025-06-18,16753.04
2025-06-19,16753.04
2025-06-20,16762.23
2025-06-21,16762.23
2025-06-22,16762.23
2025-06-23,16771.55
2025-06-24,16780.75
2025-06-25,16789.87
2025-06-26,16798.8
2025-06-27,16807.96
2025-06-28,16807.96
2025-06-29,16807.96
2025-06-30,16816.56
2025-07-01,16825.96
2025-07-02,16835.37
2025-07-03,16845.4
2025-07-04,16854.63
2025-07-05,16854.63
2025-07-06,16854.63
2025-07-07,16863.35
2025-07-08,16872.24
2025-07-09,16881.27
2025-07-10,16890.63
2025-07-11,16899.5
2025-07-12,16899.5
2025-07-13,16899.5
2025-07-14,16908.82
2025-07-15,16918.18
2025-07-16,16927.55
2025-07-17,16937.67
2025-07-18,16947.58
2025-07-19,16947.58
2025-07-20,16947.58
2025-07-21,16957.5
2025-07-22,16966.94
2025-07-23,16976.32
2025-07-24,16985.77
