day,price
2025-06-04,2099.19
2025-06-04,2099.19
2025-06-04,2099.19
2025-06-05,2102.13
2025-06-06,2103.4
2025-06-07,2103.4
2025-06-08,2103.4
2025-06-09,2102.09
2025-06-10,2090.85
2025-06-11,2083.17
2025-06-12,2096.6
2025-06-13,2089.26
2025-06-14,2089.26
2025-06-15,2089.26
2025-06-16,2096.37
2025-06-17,2099.26
2025-06-18,2104.45
2025-06-19,2104.45
2025-06-20,2116.23
2025-06-21,2116.23
2025-06-22,2116.23
2025-06-23,2121.27
2025-06-24,2119.9
2025-06-25,2112.14
2025-06-26,2117.17
2025-06-27,2119.7
2025-06-28,2119.7
2025-06-29,2119.7
2025-06-30,2135.43
2025-07-01,2140.45
2025-07-02,2143.33
2025-07-03,2141.89
2025-07-04,2140.73
2025-07-05,2140.73
2025-07-06,2140.73
2025-07-07,2135.0
2025-07-08,2127.15
2025-07-09,2117.22
2025-07-10,2101.93
2025-07-11,2117.83
2025-07-12,2117.83
2025-07-13,2117.83
2025-07-14,2120.72
2025-07-15,2113.06
2025-07-16,2103.33
2025-07-17,2097.86
2025-07-18,2092.87
2025-07-19,2092.87
2025-07-20,2092.87
2025-07-21,2089.52
2025-07-22,2098.72
2025-07-23,2091.18
2025-07-24,2096.19
2025-07-25,2097.5
2025-07-26,2097.5
2025-07-27,2097.5
2025-07-28,2092.16
2025-07-29,2101.35
2025-07-30,2098.01
