day,price
2025-06-04,644.29
2025-06-04,644.29
2025-06-04,644.29
2025-06-05,647.82
2025-06-06,644.93
2025-06-07,644.93
2025-06-08,644.93
2025-06-09,641.9
2025-06-10,633.62
2025-06-11,632.25
2025-06-12,635.69
2025-06-13,639.26
2025-06-14,639.26
2025-06-15,639.26
2025-06-16,646.0
2025-06-17,651.17
2025-06-18,656.44
2025-06-19,656.44
2025-06-20,673.68
2025-06-21,673.68
2025-06-22,673.68
2025-06-23,679.08
2025-06-24,674.16
2025-06-25,655.82
2025-06-26,657.73
2025-06-27,664.56
2025-06-28,664.56
2025-06-29,664.56
2025-06-30,680.14
2025-07-01,682.1
